Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Status Category,Status Category Changed
Misalignment of different box in Homepage ,PDSA-7,10113,Bug,To Do,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,14/Dec/24 11:47 AM,25/Dec/24 8:13 AM,,,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,14/Dec/24 11:47 AM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;Screenshot_20241214-104355.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10114,,,,,,,,,,,,,,,,,0|i000p3:,,,,,,,,,,,,,,To Do,25/Dec/24 8:13 AM
Scanning through both option doesn't read QA Code ,PDSA-6,10112,Bug,Done,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,Done,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,14/Dec/24 11:37 AM,24/Dec/24 4:48 PM,,24/Dec/24 4:48 PM,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,14/Dec/24 11:37 AM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;screen-20241214-103434.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10113,,,,,,,,,,,,,,,,,0|i000ov:,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_882642774,Done,24/Dec/24 4:48 PM
Misplacement of Logout button in home page and additional back button with no functionality ,PDSA-5,10111,Bug,To Do,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,14/Dec/24 11:29 AM,25/Dec/24 8:10 AM,,,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,14/Dec/24 11:29 AM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;Screenshot_20241214-102759.png;https://naturub.atlassian.net/rest/api/3/attachment/content/10112,,,,,,,,,,,,,,,,,0|i000on:,,,,,,,,,,,,,,To Do,25/Dec/24 8:10 AM
Wrong message showing that [Invalid Username and Password] instead of [ Username and Password is mandatory,PDSA-4,10110,Bug,Done,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,High,Done,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,14/Dec/24 11:20 AM,24/Dec/24 4:48 PM,,24/Dec/24 4:48 PM,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,14/Dec/24 11:22 AM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;screen-20241214-101826.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10111,,,,,,,,,,,,,,,,,0|i000of:,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_883713033,Done,24/Dec/24 4:48 PM
Clear Button doesn't work  ,PDSA-3,10109,Bug,To Do,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,High,,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,14/Dec/24 10:55 AM,25/Dec/24 8:09 AM,,,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,14/Dec/24 11:16 AM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;screen-20241214-095541.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10110,,,,,,,,,,,,,,,,,0|i000o7:,,,,,,,,,,,,,,To Do,25/Dec/24 8:09 AM
switching machine number create a error ,PDSA-2,10108,Bug,To Do,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,12/Dec/24 4:59 PM,25/Dec/24 8:09 AM,,,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,14/Dec/24 1:03 PM;712020:8f6a40b7-7b4e-4802-b896-7433d26f561c;screen-20241214-120131.mp4;https://naturub.atlassian.net/rest/api/3/attachment/content/10117,,,,,,,,,,,,,,,,,0|i000nz:,,,,,,,,,,,,,,To Do,25/Dec/24 8:09 AM
Back button logout from apps ,PDSA-1,10107,Bug,Done,PDSA,Production Dispatch System App,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,Done,Plabon Dey,712020:1101f897-7a45-48b5-8844-9efff27bd54a,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,12/Dec/24 4:59 PM,24/Dec/24 4:48 PM,,24/Dec/24 4:48 PM,,0,,,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,,,,,,,,,,,,,,,,,,,,,,,,,0|i000nr:,,,,,,,,,,,,,10004_*:*_1_*:*_0_*|*_10003_*:*_1_*:*_1036148999,Done,24/Dec/24 4:48 PM
Color Correction in drop down menu in Dark mode ,WPDS-14,10208,Bug,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,15/Jan/25 1:34 PM,15/Jan/25 1:34 PM,09/Apr/25 12:48 AM,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i001a7:,,,,,,,,,,,,,,To Do,15/Jan/25 1:34 PM
Direct finishing dispatch feature,WPDS-13,10205,New Feature,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,12/Jan/25 1:25 PM,12/Jan/25 1:25 PM,,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0019j:,,,,,,,,,,,,,,To Do,12/Jan/25 1:25 PM
Pending box acceptance list,WPDS-12,10204,New Feature,To Do,WPDS,WEB Production Dispatch System ,software,NATURUB,712020:8f6a40b7-7b4e-4802-b896-7433d26f561c,,Medium,,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,12/Jan/25 1:24 PM,12/Jan/25 1:24 PM,,,,0,,,Naturub IT Support,712020:4dd0afc1-0999-4d3a-a95a-578a605460b8,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0019b:,,,,,,,,,,,,,,To Do,12/Jan/25 1:24 PM
